Date,Open,High,Low,Sentiment,Close
4/17/2021,61529.92188,62572.17578,60361.35156,76,60683.82031
4/18/2021,60701.88672,61057.45703,52829.53516,79,56216.18359
4/19/2021,56191.58594,57520.05469,54368.59375,74,55724.26563
4/20/2021,55681.79297,57062.14844,53448.04688,73,56473.03125
4/21/2021,56471.12891,56757.97266,53695.46875,73,53906.08984
4/22/2021,53857.10547,55410.23047,50583.8125,65,51762.27344
4/23/2021,51739.80859,52120.79297,47714.66406,55,51093.65234
4/24/2021,51143.22656,51167.5625,48805.28516,37,50050.86719
4/25/2021,50052.83203,50506.01953,47159.48438,31,49004.25391
4/26/2021,49077.79297,54288.00391,48852.79688,27,54021.75391
4/27/2021,54030.30469,55416.96484,53319.1875,50,55033.11719
4/28/2021,55036.63672,56227.20703,53887.91797,59,54824.70313
4/29/2021,54858.08984,55115.84375,52418.02734,52,53555.10938
4/30/2021,53568.66406,57900.71875,53129.60156,51,57750.17578
5/1/2021,57714.66406,58448.33984,57052.27344,68,57828.05078
5/2/2021,57825.86328,57902.59375,56141.90625,66,56631.07813
5/3/2021,56620.27344,58973.30859,56590.87109,61,57200.29297
5/4/2021,57214.17969,57214.17969,53191.42578,68,53333.53906
5/5/2021,53252.16406,57911.36328,52969.05469,48,57424.00781
5/6/2021,57441.30859,58363.31641,55382.50781,65,56396.51563
5/7/2021,56413.95313,58606.63281,55321.84766,64,57356.40234
5/8/2021,57352.76563,59464.61328,56975.21094,67,58803.77734
5/9/2021,58877.39063,59210.88281,56482.00391,73,58232.31641
5/10/2021,58250.87109,59519.35547,54071.45703,72,55859.79688
5/11/2021,55847.24219,56872.54297,54608.65234,61,56704.57422
5/12/2021,56714.53125,57939.36328,49150.53516,68,49150.53516
5/13/2021,49735.43359,51330.84375,46980.01953,31,49716.19141
5/14/2021,49682.98047,51438.11719,48868.57813,26,49880.53516
5/15/2021,49855.49609,50639.66406,46664.14063,27,46760.1875
5/16/2021,46716.63672,49720.04297,43963.35156,20,46456.05859
5/17/2021,46415.89844,46623.55859,42207.28906,27,43537.51172
5/18/2021,43488.05859,45812.45703,42367.83203,21,42909.40234
5/19/2021,42944.97656,43546.11719,30681.49609,23,37002.44141
5/20/2021,36753.66797,42462.98438,35050.61719,11,40782.73828
5/21/2021,40596.94922,42172.17188,33616.45313,19,37304.69141
5/22/2021,37371.03125,38831.05469,35383.68359,12,37536.63281
5/23/2021,37531.44922,38289.21875,31227.33984,14,34770.58203
5/24/2021,34700.36328,39835.14063,34551.08203,10,38705.98047
5/25/2021,38795.78125,39776.35156,36581.42969,22,38402.22266
5/26/2021,38392.625,40782.07813,37905.83594,22,39294.19922
5/27/2021,39316.89063,40379.61719,37247.90234,27,38436.96875
5/28/2021,38507.08203,38856.96875,34779.03906,21,35697.60547
5/29/2021,35684.15625,37234.5,33693.92969,18,34616.06641
5/30/2021,34607.40625,36400.66797,33520.73828,10,35678.12891
5/31/2021,35658.59375,37468.25,34241.94531,18,37332.85547
6/1/2021,37293.79297,37896.73438,35787.08594,20,36684.92578
6/2/2021,36699.92188,38231.33984,35966.30859,23,37575.17969
6/3/2021,37599.41016,39478.95313,37243.97266,24,39208.76563
6/4/2021,39242.48438,39242.48438,35717.72266,27,36894.40625
6/5/2021,36880.15625,37917.71484,34900.41406,24,35551.95703
6/6/2021,35538.60938,36436.42188,35304.57813,17,35862.37891
6/7/2021,35835.26563,36790.57031,33480.64063,15,33560.70703
6/8/2021,33589.51953,34017.38672,31114.44336,13,33472.63281
6/9/2021,33416.97656,37537.37109,32475.86523,14,37345.12109
6/10/2021,37389.51563,38334.32422,35847.59375,21,36702.59766
6/11/2021,36697.03125,37608.69531,36044.44922,21,37334.39844
6/12/2021,37340.14453,37408.92578,34728.19141,28,35552.51563
6/13/2021,35555.78906,39322.78125,34864.10938,23,39097.85938
6/14/2021,39016.96875,40978.36328,38757.28516,28,40218.47656
6/15/2021,40427.16797,41295.26953,39609.46875,38,40406.26953
6/16/2021,40168.69141,40516.77734,38176.03516,33,38347.0625
6/17/2021,38341.42188,39513.67188,37439.67578,26,38053.50391
6/18/2021,38099.47656,38187.26172,35255.85547,25,35787.24609
6/19/2021,35854.52734,36457.79688,34933.0625,23,35615.87109
6/20/2021,35563.14063,36059.48438,33432.07422,21,35698.29688
6/21/2021,35641.14453,35721.64063,31295.93555,23,31676.69336
6/22/2021,31622.37695,33292.45313,28893.62109,10,32505.66016
6/23/2021,32515.71484,34753.41016,31772.63281,14,33723.02734
6/24/2021,33682.80078,35228.85156,32385.21484,22,34662.4375
6/25/2021,34659.10547,35487.24609,31350.88477,27,31637.7793
6/26/2021,31594.66406,32637.58789,30184.50195,20,32186.27734
6/27/2021,32287.52344,34656.12891,32071.75781,22,34649.64453
6/28/2021,34679.12109,35219.89063,33902.07422,25,34434.33594
6/29/2021,34475.55859,36542.10938,34252.48438,25,35867.77734
6/30/2021,35908.38672,36074.75781,34086.15234,28,35040.83594
7/1/2021,35035.98438,35035.98438,32883.78125,28,33572.11719
7/2/2021,33549.60156,33939.58984,32770.67969,21,33897.04688
7/3/2021,33854.42188,34909.26172,33402.69531,24,34668.54688
7/4/2021,34665.56641,35937.56641,34396.47656,27,35287.78125
7/5/2021,35284.34375,35284.34375,33213.66016,29,33746.00391
7/6/2021,33723.50781,35038.53516,33599.91797,20,34235.19531
7/7/2021,34225.67969,34997.66406,33839.28906,28,33855.32813
7/8/2021,33889.60547,33907.90625,32133.18359,20,32877.37109
7/9/2021,32861.67188,34042.29297,32318.88086,20,33798.01172
7/10/2021,33811.24219,34209.07031,33116.01172,20,33520.51953
7/11/2021,33509.07813,34584.70313,33346.73828,20,34240.1875
7/12/2021,34254.01563,34592.15625,32697.30859,25,33155.84766
7/13/2021,33125.46875,33327.10156,32261.41992,20,32702.02539
7/14/2021,32723.8457,33061.39844,31639.125,21,32822.34766
7/15/2021,32827.875,33159.64063,31175.70898,20,31780.73047
7/16/2021,31841.55078,32218.40625,31100.67383,22,31421.53906
7/17/2021,31397.30859,31935.94531,31223.99023,15,31533.06836
7/18/2021,31533.88477,32398.99609,31215.49219,19,31796.81055
7/19/2021,31800.01172,31885.85938,30563.73438,24,30817.83203
7/20/2021,30838.28516,31006.1875,29360.95508,19,29807.34766
7/21/2021,29796.28516,32752.32617,29526.18359,10,32110.69336
7/22/2021,32138.87305,32576.40039,31745.29883,21,32313.10547
7/23/2021,32305.95898,33581.55078,32057.89258,23,33581.55078
7/24/2021,33593.73047,34490.39063,33424.85938,22,34292.44531
7/25/2021,34290.29297,35364.92578,33881.83594,27,35350.1875
7/26/2021,35384.03125,40499.67578,35287.3125,26,37337.53516
7/27/2021,37276.03516,39406.94141,36441.72656,32,39406.94141
7/28/2021,39503.1875,40816.07031,38862.4375,50,39995.90625
7/29/2021,39995.45313,40593.07031,39352.05859,50,40008.42188
7/30/2021,40027.48438,42235.54688,38397.35547,53,42235.54688
7/31/2021,42196.30469,42231.44922,41110.83203,60,41626.19531
8/1/2021,41460.84375,42541.67969,39540.94141,60,39974.89453
8/2/2021,39907.26172,40419.17969,38746.34766,48,39201.94531
8/3/2021,39178.40234,39750.03125,37782.05078,48,38152.98047
8/4/2021,38213.33203,39952.29688,37589.16406,42,39747.50391
8/5/2021,39744.51563,41341.93359,37458.00391,50,40869.55469
8/6/2021,40865.86719,43271.66016,39932.17969,52,42816.5
8/7/2021,42832.79688,44689.85938,42618.56641,69,44555.80078
8/8/2021,44574.4375,45282.35156,43331.91016,74,43798.11719
8/9/2021,43791.92578,46456.83203,42848.6875,65,46365.40234
8/10/2021,46280.84766,46637.98828,44705.55469,71,45585.03125
8/11/2021,45599.70313,46735.63281,45351.71094,70,45593.63672
8/12/2021,45576.87891,46228.91016,43861.44531,70,44428.28906
8/13/2021,44439.69141,47831.97656,44282.41797,70,47793.32031
8/14/2021,47810.6875,48098.68359,46177.63281,76,47096.94531
8/15/2021,47096.66797,47357.10547,45579.58984,71,47047.00391
8/16/2021,47019.96094,47998.09766,45700.32031,72,46004.48438
8/17/2021,45936.45703,47139.57031,44512.41797,72,44695.35938
8/18/2021,44686.75,45952.0625,44364.02734,73,44801.1875
8/19/2021,44741.88281,46970.76172,43998.31641,70,46717.57813
8/20/2021,46723.12109,49342.15234,46650.70703,70,49339.17578
8/21/2021,49327.07422,49717.01953,48312.19922,78,48905.49219
8/22/2021,48869.10547,49471.60938,48199.94141,76,49321.65234
8/23/2021,49291.67578,50482.07813,49074.60547,79,49546.14844
8/24/2021,49562.34766,49878.76953,47687.11719,79,47706.11719
8/25/2021,47727.25781,49202.87891,47163.61328,73,48960.78906
8/26/2021,49002.64063,49347.58203,46405.78125,75,46942.21875
8/27/2021,46894.55469,49112.78516,46394.28125,71,49058.66797
8/28/2021,49072.58594,49283.50391,48499.23828,78,48902.40234
8/29/2021,48911.25,49644.11328,47925.85547,72,48829.83203
8/30/2021,48834.85156,48925.60547,46950.27344,73,47054.98438
8/31/2021,47024.33984,48189.55078,46750.09375,73,47166.6875
9/1/2021,47099.77344,49111.08984,46562.4375,71,48847.02734
9/2/2021,48807.84766,50343.42188,48652.32031,74,49327.72266
9/3/2021,49288.25,50982.27344,48386.08594,74,50025.375
9/4/2021,50009.32422,50545.58203,49548.78125,72,49944.625
9/5/2021,49937.85938,51868.67969,49538.59766,73,51753.41016
9/6/2021,51769.00391,52700.94141,51053.67969,79,52633.53516
9/7/2021,52660.48047,52853.76563,43285.20703,79,46811.12891
9/8/2021,46827.76172,47334.05469,44561.39453,47,46091.39063
9/9/2021,45774.74219,47261.94922,45669.73828,45,46391.42188
9/10/2021,46396.66406,47031.74219,44344.48438,46,44883.91016
9/11/2021,44869.83984,45969.29297,44818.26563,31,45201.45703
9/12/2021,45206.62891,46364.87891,44790.46094,32,46063.26953
9/13/2021,46057.21484,46598.67969,43591.32031,44,44963.07422
9/14/2021,44960.05078,47218.125,44752.33203,30,47092.49219
9/15/2021,47098,48450.46875,46773.32813,49,48176.34766
9/16/2021,48158.90625,48486.82813,47079.55859,53,47783.35938
9/17/2021,47771.00391,48160.92188,46832.52344,48,47267.51953
9/18/2021,47273.52734,48791.78125,47087.28516,50,48278.36328
9/19/2021,48268.85547,48328.36719,46919.80469,53,47260.21875
9/20/2021,47261.40625,47328.19922,42598.91406,50,42843.80078
9/21/2021,43012.23438,43607.60938,39787.60938,27,40693.67578
9/22/2021,40677.95313,43978.62109,40625.63281,21,43574.50781
9/23/2021,43560.29688,44942.17578,43109.33984,27,44895.09766
9/24/2021,44894.30078,45080.49219,40936.55859,33,42839.75
9/25/2021,42840.89063,42996.25781,41759.92188,28,42716.59375
9/26/2021,42721.62891,43919.30078,40848.46094,27,43208.53906
9/27/2021,43234.18359,44313.24609,42190.63281,26,42235.73047
9/28/2021,42200.89844,42775.14453,40931.66406,25,41034.54297
9/29/2021,41064.98438,42545.25781,40829.66797,24,41564.36328
9/30/2021,41551.26953,44092.60156,41444.58203,20,43790.89453
10/1/2021,43816.74219,48436.01172,43320.02344,27,48116.94141
10/2/2021,48137.46875,48282.0625,47465.49609,54,47711.48828
10/3/2021,47680.02734,49130.69141,47157.28906,49,48199.95313
10/4/2021,48208.90625,49456.77734,47045.00391,54,49112.90234
10/5/2021,49174.96094,51839.98438,49072.83984,59,51514.8125
10/6/2021,51486.66406,55568.46484,50488.19141,68,55361.44922
10/7/2021,55338.625,55338.625,53525.46875,76,53805.98438
10/8/2021,53802.14453,55922.98047,53688.05469,74,53967.84766
10/9/2021,53929.78125,55397.94531,53735.14453,72,54968.22266
10/10/2021,54952.82031,56401.30469,54264.25781,71,54771.57813
10/11/2021,54734.125,57793.03906,54519.76563,71,57484.78906
10/12/2021,57526.83203,57627.87891,54477.97266,78,56041.05859
10/13/2021,56038.25781,57688.66016,54370.97266,70,57401.09766
10/14/2021,57372.83203,58478.73438,56957.07422,70,57321.52344
10/15/2021,57345.90234,62757.12891,56868.14453,71,61593.94922
10/16/2021,61609.52734,62274.47656,60206.12109,78,60892.17969
10/17/2021,60887.65234,61645.52344,59164.46875,79,61553.61719
10/18/2021,61548.80469,62614.66016,60012.75781,78,62026.07813
10/19/2021,62043.16406,64434.53516,61622.93359,75,64261.99219
10/20/2021,64284.58594,66930.39063,63610.67578,82,65992.83594
10/21/2021,66002.23438,66600.54688,62117.41016,84,62210.17188
10/22/2021,62237.89063,63715.02344,60122.79688,75,60692.26563
10/23/2021,60694.62891,61743.87891,59826.52344,74,61393.61719
10/24/2021,61368.34375,61505.80469,59643.34375,73,60930.83594
10/25/2021,60893.92578,63729.32422,60691.80078,72,63039.82422
10/26/2021,63032.76172,63229.02734,59991.16016,76,60363.79297
10/27/2021,60352,61435.18359,58208.1875,73,58482.38672
10/28/2021,58470.73047,62128.63281,58206.91797,66,60622.13672
10/29/2021,60624.87109,62927.60938,60329.96484,70,62227.96484
10/30/2021,62239.36328,62330.14453,60918.38672,73,61888.83203
10/31/2021,61850.48828,62406.17188,60074.32813,74,61318.95703
11/1/2021,61320.44922,62419.00391,59695.18359,74,61004.40625
11/2/2021,60963.25391,64242.79297,60673.05469,73,63226.40234
